Dialect,AI model,Domain,Dialectal question,Dialectal answer,Italian question,Italian answer,Full text,Translation
Neapolitan,Gemini 2.5 - flash,wiki,Qual è 'o capoluoco d' 'a Campania?,O capoluoco sujo è Napule.,Qual è il capoluogo della Campania?,Il suo capoluogo è Napoli.,"A Campania è na reggione 'e ll'Italia Meridiunale. Cunta 5 801 658 abetante e tene 'a denzità 'e pupulazzione cchiù auta d' 'e reggione taliane ma è 'a sicunna, dopp' 'a Lummardìa e 'o Lazzio, pe' nummero totale 'e abetante. 'O capoluoco sujo è Napule. 'E tuccata a ovest, sud-ovest cu 'o Mar Tirreno, a nord-ovest cu 'o Lazzio, a nord cu 'o Mulise, a nord-est cu 'a Pùglia e a est cu 'a Lucania. 'O nomme Campania vene d' 'o termene latino campus ca vò dice' campagna e, pe mesca lenguistica, d' 'o termene osco Kampanom, cu cuje se 'nnicava ll'area d' 'a zona d' 'a cità 'e Capua. 'O nomme Campania vène d' 'o termene latino campus, ca vò dice' campagna, e pe mesca linguistica, d''o termene osco Kampanom, cu cuje se vuleva 'ntenne' ll'area 'int'é vecinanze d' 'a cità 'e Capua.","#Testo tradotto#
La Campania è una regione dell'Italia Meridionale. Conta 5 801 658 abitanti e ha la densità di popolazione più alta tra le regioni italiane, ma è la seconda, dopo la Lombardia e il Lazio, per numero totale di abitanti. Il suo capoluogo è Napoli. Confina a ovest, sud-ovest con il Mar Tirreno, a nord-ovest con il Lazio, a nord con il Molise, a nord-est con la Puglia e a est con la Lucania. Il nome Campania viene dal termine latino *campus*, che vuol dire ""campagna"" e, per mescolanza linguistica, dal termine osco *Kampanom*, con cui si indicava l'area della zona della città di Capua. Il nome Campania viene dal termine latino *campus*, che vuol dire ""campagna"", e per mescolanza linguistica, dal termine osco *Kampanom*, con cui si voleva intendere l'area nelle vicinanze della città di Capua.
#Testo tradotto#"
Neapolitan,Gemini 2.5 - flash,wiki,"A Campania, 'a denzità 'e pupulazzione soja comm'è rispietto 'e ll'ate reggione taliane?",tene 'a denzità 'e pupulazzione cchiù auta d' 'e reggione taliane,"La Campania, la sua densità di popolazione com'è rispetto alle altre regioni italiane?",Ha la densità di popolazione più alta delle regioni italiane.,"A Campania è na reggione 'e ll'Italia Meridiunale. Cunta 5 801 658 abetante e tene 'a denzità 'e pupulazzione cchiù auta d' 'e reggione taliane ma è 'a sicunna, dopp' 'a Lummardìa e 'o Lazzio, pe' nummero totale 'e abetante. 'O capoluoco sujo è Napule. 'E tuccata a ovest, sud-ovest cu 'o Mar Tirreno, a nord-ovest cu 'o Lazzio, a nord cu 'o Mulise, a nord-est cu 'a Pùglia e a est cu 'a Lucania. 'O nomme Campania vene d' 'o termene latino campus ca vò dice' campagna e, pe mesca lenguistica, d' 'o termene osco Kampanom, cu cuje se 'nnicava ll'area d' 'a zona d' 'a cità 'e Capua. 'O nomme Campania vène d' 'o termene latino campus, ca vò dice' campagna, e pe mesca linguistica, d''o termene osco Kampanom, cu cuje se vuleva 'ntenne' ll'area 'int'é vecinanze d' 'a cità 'e Capua.","#Testo tradotto#
La Campania è una regione dell'Italia Meridionale. Conta 5 801 658 abitanti e ha la densità di popolazione più alta tra le regioni italiane, ma è la seconda, dopo la Lombardia e il Lazio, per numero totale di abitanti. Il suo capoluogo è Napoli. Confina a ovest, sud-ovest con il Mar Tirreno, a nord-ovest con il Lazio, a nord con il Molise, a nord-est con la Puglia e a est con la Lucania. Il nome Campania viene dal termine latino *campus*, che vuol dire ""campagna"" e, per mescolanza linguistica, dal termine osco *Kampanom*, con cui si indicava l'area della zona della città di Capua. Il nome Campania viene dal termine latino *campus*, che vuol dire ""campagna"", e per mescolanza linguistica, dal termine osco *Kampanom*, con cui si voleva intendere l'area nelle vicinanze della città di Capua.
#Testo tradotto#"
Neapolitan,Gemini 2.5 - flash,wiki,"Ch'è 'a particolarità 'e ll'origgena 'e ll'isula, facenno nu cunfronto cu Ischia e Proceta?","L'isula è, a differènzia d' 'e vecine Ischia e Proceta, 'e origena carsica.","Qual è la particolarità dell'origine dell'isola, facendo un confronto con Ischia e Procida?","L'isola è, a differenza delle vicine Ischia e Procida, di origine carsica.","L'isula è, a differènzia d' 'e vecine Ischia e Proceta, 'e origena carsica. Ô prencipio éva auiata â penisula surrientina, ma cchiù tarde fuje agliuttuta pe na parta d''o mare e spartuta chinne d''a terraferma, addò ogge se trova 'o stritto 'e Vocca Piccerella. Capri appresènta na struttùra morfologica cumplessa, cu ccime 'e mèdia altèzza (Monte Sularo (589 m) e Monte 'e Tiberio (334 m)) e autechiane alarghe 'nterne, tra cuje 'o prencepale è chillo annummenato ''e Anacapri"". L'isula 'e Ischia, 'e 46 km² 'e suprafiggie e 61 mila abitante circa, jè 'a cchiù grossa 'e ll'isule d' 'o Gurfo 'e Napule. D'o punto 'e vista ammenistrativo se sparte a seje cummune: Barano d'Ischia, Casamicciula, Furijo, Ischia, Lacco Ameno, Serrara Fontana, pure ca è stata appresentata na pruposta 'e leggia regionala 'e iniziativa popolarèsca pe puté arrevà a nu 'Cummune Unico' 'e l'Isula 'e Ischia, criato pe referennum popolà.","#Testo tradotto#
L'isola è, a differenza delle vicine Ischia e Procida, di origine carsica. In principio era unita alla penisola sorrentina, ma più tardi fu inghiottita per una parte dal mare e separata completamente dalla terraferma, dove oggi si trova lo stretto di Bocca Piccola. Capri presenta una struttura morfologica complessa, con cime di media altezza (Monte Solaro (589 m) e Monte Tiberio (334 m)) e altopiani ampi interni, tra cui il principale è quello denominato ""di Anacapri"". L'isola d'Ischia, di 46 km² di superficie e circa 61 mila abitanti, è la più grande delle isole del Golfo di Napoli. Dal punto di vista amministrativo si divide in sei comuni: Barano d'Ischia, Casamicciola, Forio, Ischia, Lacco Ameno, Serrara Fontana, sebbene sia stata presentata una proposta di legge regionale di iniziativa popolare per poter arrivare a un ""Comune Unico"" dell'Isola d'Ischia, creato tramite referendum popolare."
Neapolitan,Gemini 2.5 - flash,wiki,"Comme se sparte Ischia, amministrativamente parlanne, e quante cummune tene?","D'o punto 'e vista ammenistrativo se sparte a seje cummune: Barano d'Ischia, Casamicciula, Furijo, Ischia, Lacco Ameno, Serrara Fontana","Come si suddivide Ischia, amministrativamente parlando, e quanti comuni ha?","Dal punto di vista amministrativo si suddivide in sei comuni: Barano d'Ischia, Casamicciola, Forio, Ischia, Lacco Ameno, Serrara Fontana","L'isula è, a differènzia d' 'e vecine Ischia e Proceta, 'e origena carsica. Ô prencipio éva auiata â penisula surrientina, ma cchiù tarde fuje agliuttuta pe na parta d''o mare e spartuta chinne d''a terraferma, addò ogge se trova 'o stritto 'e Vocca Piccerella. Capri appresènta na struttùra morfologica cumplessa, cu ccime 'e mèdia altèzza (Monte Sularo (589 m) e Monte 'e Tiberio (334 m)) e autechiane alarghe 'nterne, tra cuje 'o prencepale è chillo annummenato ''e Anacapri"". L'isula 'e Ischia, 'e 46 km² 'e suprafiggie e 61 mila abitante circa, jè 'a cchiù grossa 'e ll'isule d' 'o Gurfo 'e Napule. D'o punto 'e vista ammenistrativo se sparte a seje cummune: Barano d'Ischia, Casamicciula, Furijo, Ischia, Lacco Ameno, Serrara Fontana, pure ca è stata appresentata na pruposta 'e leggia regionala 'e iniziativa popolarèsca pe puté arrevà a nu 'Cummune Unico' 'e l'Isula 'e Ischia, criato pe referennum popolà.","#Testo tradotto#
L'isola è, a differenza delle vicine Ischia e Procida, di origine carsica. In principio era unita alla penisola sorrentina, ma più tardi fu inghiottita per una parte dal mare e separata completamente dalla terraferma, dove oggi si trova lo stretto di Bocca Piccola. Capri presenta una struttura morfologica complessa, con cime di media altezza (Monte Solaro (589 m) e Monte Tiberio (334 m)) e altopiani ampi interni, tra cui il principale è quello denominato ""di Anacapri"". L'isola d'Ischia, di 46 km² di superficie e circa 61 mila abitanti, è la più grande delle isole del Golfo di Napoli. Dal punto di vista amministrativo si divide in sei comuni: Barano d'Ischia, Casamicciola, Forio, Ischia, Lacco Ameno, Serrara Fontana, sebbene sia stata presentata una proposta di legge regionale di iniziativa popolare per poter arrivare a un ""Comune Unico"" dell'Isola d'Ischia, creato tramite referendum popolare."
Neapolitan,Gemini 2.5 - flash,wiki,"Quann'è ca 'a ripresa 'e ll'agricultura arrivatte, e grazi'a che azzione?","A ripresa arrivatte sulo aropp'ô VI seculo, cu ll'azzione d' 'e monace Cassiinese, Benedettine.","Quando è che la ripresa dell'agricoltura arrivò, e grazie a quale azione?","La ripresa arrivò solo dopo il VI secolo, con l'azione dei monaci Cassinesi, Benedettini.","Assaje ritrovamiente archeologgece attestano ca 'o terrieno era abbitato ggià ô III seculo primma 'e Cristo. Era nu terrieno agriculo 'e cunfine, nfra ll'area Atellana e ll'Ager Neapolitanus, 'ncopp'ô quale ''int'' 'e siecule song sorti e sviluppate assaje villaggi. E spisso assaje pure finnuti: na epigrafe greco-latina ô 198 d.C., ritruvata a Carbonella, testimonia proprio 'a grave crise in cuie virsava ll'agricultura in chello periudo. 'A ripresa arrivatte sulo aropp'ô VI seculo, cu ll'azzione d' 'e monace Cassiinese, Benedettine. Siconno 'a tradizzione pupulà,Casoria sarebbe 'o ""territorium gentianum"" rigalato ô 529 d' 'o pate 'e San Mauro 'o maestro Benedetto. Ma chesta, è sulo na liggenna. 'O terrieno 'e Casoria, 'nfatte, fa parte 'e na vastissima zzona cumpresa ntra ll'area aversana e 'e pennicie d' 'o Vesuvio fatte 'e sicuro abbascio 'a spinta d' 'e Benedettine d' 'o IX seculo.","#Testo tradotto#
Numerosi ritrovamenti archeologici attestano che il territorio era abitato già nel III secolo prima di Cristo. Era un territorio agricolo di confine, tra l'area Atellana e l'Ager Neapolitanus, sul quale nei secoli sono sorti e sviluppati molti villaggi. E molto spesso anche scomparsi: un'epigrafe greco-latina del 198 d.C., ritrovata a Carbonella, testimonia proprio la grave crisi in cui versava l'agricoltura in quel periodo. La ripresa arrivò solo dopo il VI secolo, con l'azione dei monaci Cassinesi, Benedettini. Secondo la tradizione popolare, Casoria sarebbe il ""territorium gentianum"" regalato nel 529 dal padre di San Mauro al maestro Benedetto. Ma questa è solo una leggenda. Il territorio di Casoria, infatti, fa parte di una vastissima zona compresa tra l'area aversana e le pendici del Vesuvio, sicuramente sviluppate sotto la spinta dei Benedettini del IX secolo."
Neapolitan,Gemini 2.5 - flash,wiki,"Siconno 'e ritrovamiente archeologgece, a partì 'a quann'è ca 'o terrieno era abbitato?",o terrieno era abbitato ggià ô III seculo primma 'e Cristo.,"Secondo i ritrovamenti archeologici, a partire da quando il territorio era abitato?",Il territorio era abitato già nel III secolo prima di Cristo.,"Assaje ritrovamiente archeologgece attestano ca 'o terrieno era abbitato ggià ô III seculo primma 'e Cristo. Era nu terrieno agriculo 'e cunfine, nfra ll'area Atellana e ll'Ager Neapolitanus, 'ncopp'ô quale ''int'' 'e siecule song sorti e sviluppate assaje villaggi. E spisso assaje pure finnuti: na epigrafe greco-latina ô 198 d.C., ritruvata a Carbonella, testimonia proprio 'a grave crise in cuie virsava ll'agricultura in chello periudo. 'A ripresa arrivatte sulo aropp'ô VI seculo, cu ll'azzione d' 'e monace Cassiinese, Benedettine. Siconno 'a tradizzione pupulà,Casoria sarebbe 'o ""territorium gentianum"" rigalato ô 529 d' 'o pate 'e San Mauro 'o maestro Benedetto. Ma chesta, è sulo na liggenna. 'O terrieno 'e Casoria, 'nfatte, fa parte 'e na vastissima zzona cumpresa ntra ll'area aversana e 'e pennicie d' 'o Vesuvio fatte 'e sicuro abbascio 'a spinta d' 'e Benedettine d' 'o IX seculo.","#Testo tradotto#
Numerosi ritrovamenti archeologici attestano che il territorio era abitato già nel III secolo prima di Cristo. Era un territorio agricolo di confine, tra l'area Atellana e l'Ager Neapolitanus, sul quale nei secoli sono sorti e sviluppati molti villaggi. E molto spesso anche scomparsi: un'epigrafe greco-latina del 198 d.C., ritrovata a Carbonella, testimonia proprio la grave crisi in cui versava l'agricoltura in quel periodo. La ripresa arrivò solo dopo il VI secolo, con l'azione dei monaci Cassinesi, Benedettini. Secondo la tradizione popolare, Casoria sarebbe il ""territorium gentianum"" regalato nel 529 dal padre di San Mauro al maestro Benedetto. Ma questa è solo una leggenda. Il territorio di Casoria, infatti, fa parte di una vastissima zona compresa tra l'area aversana e le pendici del Vesuvio, sicuramente sviluppate sotto la spinta dei Benedettini del IX secolo."
Roman,Gemini 2.5 - flash,literature,Chi è che abitava ar vicolo der Moro?,"io, co' me' madre e me' fratello Giggi.",Chi abitava al vicolo del Moro?,"Io, con mia madre e mio fratello Gigi.","Me dite d'annà ar fatto un momento che adesso l'aricconto:
Abbitavamo ar vicolo der Moro io, co' me' madre e me' fratello Giggi. La sera, noi tornamio dar lavoro e la trovamio accanto a la loggetta bona, tranquilla, co' quer viso bianco,
che cantava, e faceva la carzetta! E ce baciava in fronte, e sorrideva e ce baciava ancora e poi cantava:Fior de gaggia io so' felice sortanto co' voi due ar monno nun ce sta che ve somija!. E mentre sull'incudine, er martello, sbatteva tutto allegro, e rimbarzava, pur'io nnell'officina ripetevo:Fiorin fiorello la vita tutta quanta, manco a dillo, l'ho da passà co' mamma e me' fratello. Poi, Giggi se cambiò!!! se fece amico co' li più peggio bulli dell'urione, lassò er lavoro. bazzicò Panico, poi fu proposto pe' l'ammonizzione.","#Testo tradotto#
Mi dite di andare al sodo un momento, che adesso ve lo racconto:
Abitavamo al vicolo del Moro io, con mia madre e mio fratello Giggi. La sera, noi tornavamo dal lavoro e la trovavamo accanto alla loggetta, buona, tranquilla, con quel viso bianco, che cantava, e faceva la calzetta! E ci baciava in fronte, e sorrideva e ci baciava ancora e poi cantava: Fiore di acacia, io sono felice soltanto con voi due, al mondo non c'è chi vi somiglia! E mentre sull'incudine, il martello, batteva tutto allegro, e rimbalzava, anch'io nell'officina ripetevo: Fiorin fiorello, la vita tutta quanta, nemmeno a dirlo, l'ho da passare con mamma e mio fratello. Poi, Giggi si cambiò!!! Si fece amico con i peggiori bulli del rione, lasciò il lavoro. Frequentò Panico, poi fu proposto per l'ammonizione."
Roman,Gemini 2.5 - flash,literature,"Ma Giggi che fine fece, poi?","Giggi se cambiò!!! se fece amico co' li più peggio bulli dell'urione, lassò er lavoro. bazzicò Panico, poi fu proposto pe' l'ammonizzione.","Ma Gigi che fine fece, poi?","Gigi si trasformò! Si fece amico con i peggiori bulli del rione, lasciò il lavoro. Frequentò Panico, poi fu proposto per l'ammonizione.","Me dite d'annà ar fatto un momento che adesso l'aricconto:
Abbitavamo ar vicolo der Moro io, co' me' madre e me' fratello Giggi. La sera, noi tornamio dar lavoro e la trovamio accanto a la loggetta bona, tranquilla, co' quer viso bianco,
che cantava, e faceva la carzetta! E ce baciava in fronte, e sorrideva e ce baciava ancora e poi cantava:Fior de gaggia io so' felice sortanto co' voi due ar monno nun ce sta che ve somija!. E mentre sull'incudine, er martello, sbatteva tutto allegro, e rimbarzava, pur'io nnell'officina ripetevo:Fiorin fiorello la vita tutta quanta, manco a dillo, l'ho da passà co' mamma e me' fratello. Poi, Giggi se cambiò!!! se fece amico co' li più peggio bulli dell'urione, lassò er lavoro. bazzicò Panico, poi fu proposto pe' l'ammonizzione.","#Testo tradotto#
Mi dite di andare al sodo un momento, che adesso ve lo racconto:
Abitavamo al vicolo del Moro io, con mia madre e mio fratello Giggi. La sera, noi tornavamo dal lavoro e la trovavamo accanto alla loggetta, buona, tranquilla, con quel viso bianco, che cantava, e faceva la calzetta! E ci baciava in fronte, e sorrideva e ci baciava ancora e poi cantava: Fiore di acacia, io sono felice soltanto con voi due, al mondo non c'è chi vi somiglia! E mentre sull'incudine, il martello, batteva tutto allegro, e rimbalzava, anch'io nell'officina ripetevo: Fiorin fiorello, la vita tutta quanta, nemmeno a dirlo, l'ho da passare con mamma e mio fratello. Poi, Giggi si cambiò!!! Si fece amico con i peggiori bulli del rione, lasciò il lavoro. Frequentò Panico, poi fu proposto per l'ammonizione."
Roman,Gemini 2.5 - flash,literature,"Che vò dì ""Ornitocefalo"" seconno ar testo?",Ornitocefalo vol dire che hai la testa de uccello e pertanto capisci poco!,"Cosa significa ""Ornitocefalo"" secondo il testo?",Ornitocefalo significa che hai la testa di uccello e pertanto capisci poco!,"Mo che vordì sto orinotocestio?» “Ornitocefalo vol dire che hai la testa de uccello e pertanto capisci poco!” A Madre, Maria, cerca allora de mette pace e dice ar Fijo:”non te la devi prenne'
Ci so' parole e frasi, in Italiano, che non so' offensive e so' anche de difficile comprensione”
.«Ah Vabbè» fa Adriano
«Ma puro er romanesco nun è offensivo! Pè gnente! E certe parole nun se capischeno ar volo
Pè esempio: si io Massimì te dico “stronzo”
Manco te, che sei 'n capiscione, capisci! Ma te garantisco che nun è n'inzurto e ciò sai perché? Perché e' 'a verità
Tu sei un granne stronzo»","#Testo tradotto#
«Ora che significa questo 'orinotocestio'?» «Ornitocefalo vuol dire che hai la testa d'uccello e pertanto capisci poco!» La Madre, Maria, cerca allora di mettere pace e dice al Figlio: «non te la devi prendere. Ci sono parole e frasi, in Italiano, che non sono offensive e sono anche di difficile comprensione». «Ah Vabbè» fa Adriano «Ma pure il romanesco non è offensivo! Per niente! E certe parole non si capiscono al volo. Per esempio: se io, Massimino, ti dico “stronzo”, neanche tu, che sei un capiscione, capisci! Ma ti garantisco che non è un insulto e ciò sai perché? Perché è la verità. Tu sei un grande stronzo»."
Roman,Gemini 2.5 - flash,literature,"Pecché la parola ""stronzo"" nun è n'inzurto seconno a chi parla?",Perché e' 'a verità,"Perché la parola ""stronzo"" non è un insulto secondo chi parla?",Perché è la verità,"Mo che vordì sto orinotocestio?» “Ornitocefalo vol dire che hai la testa de uccello e pertanto capisci poco!” A Madre, Maria, cerca allora de mette pace e dice ar Fijo:”non te la devi prenne'
Ci so' parole e frasi, in Italiano, che non so' offensive e so' anche de difficile comprensione”
.«Ah Vabbè» fa Adriano
«Ma puro er romanesco nun è offensivo! Pè gnente! E certe parole nun se capischeno ar volo
Pè esempio: si io Massimì te dico “stronzo”
Manco te, che sei 'n capiscione, capisci! Ma te garantisco che nun è n'inzurto e ciò sai perché? Perché e' 'a verità
Tu sei un granne stronzo»","#Testo tradotto#
«Ora che significa questo 'orinotocestio'?» «Ornitocefalo vuol dire che hai la testa d'uccello e pertanto capisci poco!» La Madre, Maria, cerca allora di mettere pace e dice al Figlio: «non te la devi prendere. Ci sono parole e frasi, in Italiano, che non sono offensive e sono anche di difficile comprensione». «Ah Vabbè» fa Adriano «Ma pure il romanesco non è offensivo! Per niente! E certe parole non si capiscono al volo. Per esempio: se io, Massimino, ti dico “stronzo”, neanche tu, che sei un capiscione, capisci! Ma ti garantisco che non è un insulto e ciò sai perché? Perché è la verità. Tu sei un grande stronzo»."
Roman,Gemini 2.5 - flash,literature,Come vegniva descritto er cagnolino ner racconto?,"Infatti era un cagnolino tutto linno e ppinno, ciuco, ciuco, che ppareva 'na galanteria",Come veniva descritto il cagnolino nel racconto?,"Infatti era un cagnolino tutto pulito e ordinato, piccino, piccino, che sembrava una galanteria.","Infatti era un cagnolino tutto linno e ppinno, ciuco, ciuco, che ppareva 'na galanteria
Er padre fece :
Ecco un cane che ffa ppe' ccasa nostra
E ssiccome è er mejo de tutti e ttre, chi l'ha allevato sarà ffatta riggina
Li fìji ppiù granili incominciorno a llagnasse com'er solito ; ma e' re, senza stalli nemmanco a ssenti', je fece :
Adesso annate ognuno a ppijavve la vostra spósa, e ddoppo armerete a sposa'
Li fratelli ppiù ggranni agnédeno a pijà' le spóse loro senza stacce tanto a ppensà', perché ereno du' bbelle giuvinotte
Ma quer povero Nicolino, poveretto, se disperava
Prese, montò in legno e agnede ggiù ar fosso
Dice :
Rana, rana
Chi e cche mme chiama ?","#Testo tradotto#
Infatti era un cagnolino tutto lindo e pinto, piccolo piccolo, che sembrava una galanteria.
Il padre disse:
Ecco un cane che fa per casa nostra.
E siccome è il migliore di tutti e tre, chi lo ha allevato sarà fatta regina.
I figli più grandi incominciarono a lamentarsi come al solito; ma il re, senza neanche stare ad ascoltarli, gli disse:
Adesso andate ognuno a prendervi la vostra sposa, e dopo tornerete a sposarvi.
I fratelli più grandi andarono a prendere le loro spose senza starci tanto a pensare, perché erano due belle giovinette.
Ma quel povero Nicolino, poveretto, si disperava.
Partì, montò in carrozza e andò giù al fosso.
Disse:
Rana, rana.
Chi è che mi chiama?
#Testo tradotto#"
Roman,Gemini 2.5 - flash,literature,"Doppo che li fiji se misero a lagnasse, che je disse er re?","Adesso annate ognuno a ppijavve la vostra spósa, e ddoppo armerete a sposa'","Dopo che i figli si misero a lamentarsi, che cosa gli disse il re?","Adesso andate ognuno a prendervi la vostra sposa, e dopo tornerete a sposarvi.","Infatti era un cagnolino tutto linno e ppinno, ciuco, ciuco, che ppareva 'na galanteria
Er padre fece :
Ecco un cane che ffa ppe' ccasa nostra
E ssiccome è er mejo de tutti e ttre, chi l'ha allevato sarà ffatta riggina
Li fìji ppiù granili incominciorno a llagnasse com'er solito ; ma e' re, senza stalli nemmanco a ssenti', je fece :
Adesso annate ognuno a ppijavve la vostra spósa, e ddoppo armerete a sposa'
Li fratelli ppiù ggranni agnédeno a pijà' le spóse loro senza stacce tanto a ppensà', perché ereno du' bbelle giuvinotte
Ma quer povero Nicolino, poveretto, se disperava
Prese, montò in legno e agnede ggiù ar fosso
Dice :
Rana, rana
Chi e cche mme chiama ?","#Testo tradotto#
Infatti era un cagnolino tutto lindo e pinto, piccolo piccolo, che sembrava una galanteria.
Il padre disse:
Ecco un cane che fa per casa nostra.
E siccome è il migliore di tutti e tre, chi lo ha allevato sarà fatta regina.
I figli più grandi incominciarono a lamentarsi come al solito; ma il re, senza neanche stare ad ascoltarli, gli disse:
Adesso andate ognuno a prendervi la vostra sposa, e dopo tornerete a sposarvi.
I fratelli più grandi andarono a prendere le loro spose senza starci tanto a pensare, perché erano due belle giovinette.
Ma quel povero Nicolino, poveretto, si disperava.
Partì, montò in carrozza e andò giù al fosso.
Disse:
Rana, rana.
Chi è che mi chiama?
#Testo tradotto#"
Roman,Gemini 2.5 - flash,literature,Che ffece Nicolino subbito doppo avé buttato er canestro ?,"Nicolino mannò ggiù er canestro, prese e' refe, e se n'annò ddar padre",Cosa fece Nicolino subito dopo aver calato il canestro?,"Nicolino mandò giù il canestro, prese il refe, e se ne andò dal padre.","E llui :
Hai finito da fila' que' llino ? Dice :
Sì : bbùtteme ggiù un canestro che tte lo manno su
Nicolino mannò ggiù er canestro, prese e' refe, e se n'annò ddar padre
Er padre incomincia a vvardà' tutti e ttre li gnómmeri de refe, e ddice ;
Quello de la fornara è bbello, quello de la macellara è mmejo, ma cquello de la ranocchia è er più bbello de tutti
Dunque la ranocchia sarà la riggina
Li fratelli j'incominciorno a ddi':
Ma Ppapà, che vve dite? Com'è ppossibile che 'na ranocchia sii la riggina ?","#Testo tradotto#
E lui:
Hai finito di filare quel lino? Dice:
Sì: buttami giù un canestro che te lo mando su.
Nicolino mandò giù il canestro, prese il refe, e se ne andò dal padre.
Il padre incomincia a guardare tutti e tre i gomitoli di refe, e dice:
Quello della fornaia è bello, quello della macellaia è meglio, ma quello della ranocchia è il più bello di tutti.
Dunque la ranocchia sarà la regina.
I fratelli gli incominciarono a dire:
Ma Papà, che vi dite? Com'è possibile che una ranocchia sia la regina?"
Roman,Gemini 2.5 - flash,literature,Come ha giudicato er padre li ttre gnómmeri de refe ?,"Quello de la fornara è bbello, quello de la macellara è mmejo, ma cquello de la ranocchia è er più bbello de tutti",Come ha giudicato il padre i tre gomitoli di refe?,"Quello della fornara è bello, quello della macellaia è meglio, ma quello della ranocchia è il più bello di tutti.","E llui :
Hai finito da fila' que' llino ? Dice :
Sì : bbùtteme ggiù un canestro che tte lo manno su
Nicolino mannò ggiù er canestro, prese e' refe, e se n'annò ddar padre
Er padre incomincia a vvardà' tutti e ttre li gnómmeri de refe, e ddice ;
Quello de la fornara è bbello, quello de la macellara è mmejo, ma cquello de la ranocchia è er più bbello de tutti
Dunque la ranocchia sarà la riggina
Li fratelli j'incominciorno a ddi':
Ma Ppapà, che vve dite? Com'è ppossibile che 'na ranocchia sii la riggina ?","#Testo tradotto#
E lui:
Hai finito di filare quel lino? Dice:
Sì: buttami giù un canestro che te lo mando su.
Nicolino mandò giù il canestro, prese il refe, e se ne andò dal padre.
Il padre incomincia a guardare tutti e tre i gomitoli di refe, e dice:
Quello della fornaia è bello, quello della macellaia è meglio, ma quello della ranocchia è il più bello di tutti.
Dunque la ranocchia sarà la regina.
I fratelli gli incominciarono a dire:
Ma Papà, che vi dite? Com'è possibile che una ranocchia sia la regina?"
Roman,Gemini 2.5 - flash,literature,Che problema c'aveva la fija der re che nu' se risolveva mai?,nu' rideva mai,Che problema aveva la figlia del re che non si risolveva mai?,non rideva mai,"C'era 'na vorta u' re che ciaveva 'na fija che nu' rideva mai. J'aveva fatte fa' tante feste ner paese, tanti balli, tante cose pe' potella fa' sta' alegra, ma era tutto inutile. 'Na vorta, a' re je sartò de fa' frabbicà' li' mmezzo a la piazza, davanti ar su' palazzo, 'na bella funtana che buttava ojo. Quant'ècchete che un giorno, che la fija de' re stava in finestra a godesse la gente che faceven'a pugni pe' riempisse le bocce d'ojo, capitò 'na ciospetta1 co' 'na mucchia de coccetti de la pupazza, l'empì d'ojo, e doppo avelli empiti se li caricò su la testa e s'incamminò; ma siccomme la strada era tutta panónta, la vecchia nun fece manco un passo che ppùnfete! prese e scivolò, e je se scocciòrno tutti li coccetti che portava. Che vvôi vede' la fija de' re!","#Testo tradotto#
C'era una volta un re che aveva una figlia che non rideva mai. Le aveva fatto fare tante feste nel paese, tanti balli, tante cose per poterla far stare allegra, ma era tutto inutile. Una volta, al re venne in mente di far fabbricare lì in mezzo alla piazza, davanti al suo palazzo, una bella fontana che buttava olio. Ed ecco che un giorno, mentre la figlia del re stava in finestra a godersi la gente che si faceva a pugni per riempirsi i recipienti d'olio, capitò una vecchietta con un mucchio di cocci di un vaso, li riempì d'olio, e dopo averli riempiti se li caricò sulla testa e si incamminò; ma siccome la strada era tutta unta, la vecchia non fece neanche un passo che pumf! scivolò, e le si ruppero tutti i cocci che portava. E che ti credi che fece la figlia del re!"
