Dialect,Domanda,Risposta
full,x,"Pi casu vitti passari un cavaddhu cu na beddha cucchia di carusi ncapu?»
«Chistu voli jiri a fari dannu» pinzau a vicchiareddha. Adunca ci fici na facci ntrunata e accuminciau a ricitari na filastròccula: 
«Si cunta e s'arricunta ca cc'era na vota na vicchiareddha ca facìa a quasetta, ci scappau un puntu e dumani tû cuntu » 
Lu vecchiu Dragu s'alluntanau rungulijannu: «cci mancava sulu a vecchia ntrunata!» Accussì agghicau ncostu â Chiesa unni lu sagristanu aviva acchianatu supra ô campanaru pi sunari i vèspiri. «Di ddhà supra si vìdinu tutti cosi, ora ci spiu a iddhu» pinzau, e abbannijau: 
«A tia, lu vìdisti passari un cavaddhu cu na beddha cucchia ncapu?»
Lu sagristanu, ca nun lu vulìa ajutari, si misi a sunari i campani dicennu: 
«Din don dan, a missa sona, din don dan, a missa sona»."
full,x,"Traseva e nisceva dâ finistreddha dâ turri e scinneva e acchianava, macari grazzi ê so stivali nfatati, aggranfànnusi ê jimmi dû muru. Nta stu mentri, Marianna criscìa, studiava ncapu ê vecchi libbri dû casteddhu, raccamava e facìa i sirbizza. Quannu si sintiva troppu sula cantava o parrava cu l'aciddhuzzu, o a jatta, o chî vari mòbbili e arnisi dû casteddhu. Nfatti, nnô casteddhu dû vecchiu Dragu tutti cosi avìvanu n'arma, e ogni uggettu putiva parrari e pinzari, e a Marianna, ca era beddha e gintili, ci vulèvanu tutti beni. Di quannu avìa nasciutu, mai s'aviva tagghiatu i capiddhi. Pi sta scaciuni cci l'avìa longhi longhi e i purtava ricoti nta du' trizzi ca appuntava supra ô cozzu. Un jornu, so patri ci dumannau di sciugghìrisi i trizzi e pruvari a calalli jusu dâ finistreddha e, vistu ca ragghiuncìanu pirfettu lu solu, addicidìu di usalli pi scìnniri e acchianari â drittusa."
full,x,"Doppu du' tagghi vitti strallùciri lu cappucceddhu russu, e doppu autri dui a picciriddha sautau fora vucijannu: «Oh, era accussì scantata! Era accussì scuru nnâ panza dû lupu!»
Appoi niscìu macari a nanna ancora viva. E Cappucceddhu Russu jìu a pigghiau quarchi petra granni e pisanti p'allìnchiri a panza dû lupu e, quannu iddhu s'arruspigghiau, pruvau a fujirisinni, ma i petri èranu accussì pisanti ca sùbbitu cascau 'n terra e murìu. Èranu cuntenti tutti tri: lu cacciaturi pigghiau a peddhi dû lupu, a nanna manciau a fugazza e vippi lu vinu ca ci avìa purtatu Cappucceddhu Russu. E Cappucceddhu Russu pinzau ntra di iddha: “Mai cchiù hâ a cùrriri sula ntô voscu, arrassu dû sinteri, quannu a mamma tû pruibbìu”."
full,x,"«Rusiddha, tu cca sì?»
«Vinni p'allianàrimi, vogghiu pigghiari tanticchieddha d'aria, ca avi assai ca nun cci vaju ntô jardinu». Lu Re, comu agghiurnau, lu primu pinzeri ca appi fu purtari a so figghiu nnô jardinu. Affacciau Rusiddha, lu Riuzzu suspirau e dissi:
«Rusiddha ntontorontò, quantu pàmpini cci su'ntô basilicò?»
«Ancora ti spercia, cu tuttu ca sì menzu mortu?», ci arrispunnìu iddha. «E tu, Re ncurunatu, quantu stiddhi cci su' ntô stiddhatu?»
«Rusiddha, zoccu ài ca nun dormi? Ahi! Signura majistra, chi puci! Ahi! Signura majistra, chi cìmici!»
«Lu panaru â mula lu vasasti, ma a currija nun l'avisti». «A vasateddha mâ dasti, ma i pisciteddhi nun manciasti!»
«Veni a Morti cu l'anchi torti, lu figghiu dû Re si vinni a pigghiari!»
Lu Re, ca ntisi diri accussì, desi òrdini ê so vascialli di nun fari nèsciri a Rusiddha di ddha casa, appoi a fici vèniri a palazzu:
«Comu va sta cosa, m'hâ a cuntari»."
full,x,"Iddhu, pâ raggia, si liccau a sciàbbula e dissi:
«Oh! Ch'è duci lu sangu di me mugghieri! E cu' mi teni ca m'ammazzu, ora ca persi a me mugghieri accussì duci?»
Comu iddhu dissi accussì, Rusiddha niscìu di sutta lu lettu e schigghiau:
«Viva sugnu! Viva sugnu!»
E s'abbrazzaru. E a pupa di zùccaru e meli
 Sâ manciaru maritu e mugghieri."
full,x,"Aspetta, ca t'hê fari chiànciri a prima, a sicunna e a terza». Doppu chistu misi a Tridicinu dintra na vutti, e si misi a nutricallu a pàssuli e ficu. Doppu chistu ci dissi: 
«Affaccia lu jìditu, Tridicineddhu, quantu viju si ngrassasti»
Tridicinu vitti ddhà na cuda di surci, e affacciau chiddha. «Ah, chi sì siccu!», dissi lu Dragu, «e macari fitusu! Mancia, figghiu, te' pàssuli e ficu, e ngrassa viatu!» 
A capu dî jorna, lu Dragu lu turnau a chiamari p'affacciari lu jiditeddhu e Tridicinu affacciau na cuda di fusu. «Bih, mischinu! Ancora siccu sì? Mancia, mancia, e ngrassa viatu». A capu dû misi Tridicinu nun appi cchiù zoccu affacciari, e appi a fari vìdiri lu jiditu so."
full,x,"«Cu' mancia pani, si l'hâ abbuscari: fora, lavannara!» 
Ci pigghiaru i so beddhi robbi, ci dèttiru di nnussari na vecchia tùnica griggia e a cunnuceru 'n cucina buffunijànnula. Ḍḍocu avìa a fari lu cani: si susiva prima ca agghiurnava, purtava l'acqua, addhumava lu focu, cucinava e lavava. Sparti, i soru ci nni cumminàvanu di tutti i culura, a sdilliggiàvanu e ci sdivacàvanu cìciri e linticchi ntâ cìnniri, accussì ca l'avìa a cògghiri unu a unu. A sira, quannu era stanca, nun jeva a lettu, ma s'avìa a curcari nnâ cìnniri ncostu ô fucularu. Ḍḍocu scuprìu ca cc'era na tana di surciteddhi ca addivintaru i so megghiu amici e, siccomu era sempri lorda e mpruvulazzata, a chiamàvanu “Cinnireddha”. Un jornu, lu patri si nni vosi jiri â fera e spiau ê du' figghiastri soccu ci avìa a purtari. «Beddhi robbi», dissi a prima. «Perni e gemmi», dissi a sicunna."
full,x,"«E tu, Cinnireddha, chi vo'?»
«Patri, a prima ramiceddha ca vi ntappa cû cappeddhu â turnata», arrispunnìu Cinnireddha. Accussì iddhu accattau beddhi robbi, perni e gemmi pî du' figghastri e, â turnata, mentri caaccavarcava p'un vuschiceddhu virdi, sfriciau na rama di nuciddhara e ci causcau lu cappeddhu. Allura iddhu cugghìu a ramiceddha e quannu agghicau â casa ci desi ê du' figghiastri zoccu avìanu dumannatu, e a Cinnireddha ci detti a rama di nuciddhara. Cinnireddha a pigghiau, a jìu a chiantau ntâ sipurtura dâ matri e chiancìu accussì assai ca i làcrimi l'abbiviraru. Accussì criscìu e addivintau un beddhu àrbulu. Cinnireddha cci jeva tri voti ô jornu, chianceva e prijava, e ogni vota s'appujava supra a chianta n'aciddhuzzu ca ci dava soccu avìa addisijatu. Un jornu mmattìu ca lu Re detti na festa ca avìa a durari tri jorna pi fari scartari na mugghieri a so figghiu."
full,x,"«Signuri Majistà, mi manna lu Conti Piru, e vi mmìa sta caccia». «Figghia mia, iu chi sacciu cu' è stu Conti Piru, mi scantu ca iddhu ti vuleva mannari a n'autra banna! Sa' c'hâ fari? Fallu vèniri cca a stu Conti Piru, quantu lu canusciu». «Nun sgarravi, oji nfatti mi mannau pi dumannàrivi di dàrici pi mugghieri vostra figghia». «Siddhu è accussì riccu, allura aiu a rifiutari. L'anuri nun mi pirmetti d'accittari st'ufferta». «Vostra Majistà, nun cci ât'a pinzari», arrispunnìu Giuvannuzza, «e nun spirciàtivi a testa pû pinzeri dâ dota. Lu Conti Piru nun s'attriviscissi mai a spiàrivi a dota, nzonna sulu a manu dâ principissa». Sintennu sta risposta, lu Re arristau alluccutu: stu Conti Piru avìa a èssiri strarriccu pi putiri rinunziari â dota!"
full,x,"Giuvannuzza fici attu ô Conti Piru, e ci dissi:
«Iu caminu avanti, tu appressu di mia, e i carrozzi e a cavaddharìa appressu 'i tia». Si mìsiru a caminari e ncuntraru na mànnira di pècuri ca era dâ Mamma Draga. Lu picciutteddhu ca guardava i pècuri, comu a vitti ncugnari, jittau na petra a Giuvannuzza e iddha si misi a chiànciri. «Ah, ora t'aiu a fari ammazzari!», schigghiau ô carusu. «A vidi sta cavaddharìa? Ora t'aiu a fari ammazzari!» 
«Si tu nun mi fa' fari nenti, ju nun ti nn'abbìu cchiù pietri.», arrispunnìu scantatu iddhu. «Allura, si tu nun vo' èssiri ammazzatu, comu passa lu Re e ti spia di cu' è sta mànnira di pècuri, tu ci hâ diri ca apparteni ô Conti Piru, ca è so jènniru, e ti duna lu premiu»."
full,x,"Allura ci dissi:
«Surfarina, si nun ti penti, oji partu pi Nàpuli». «Bon viaggiu! Vai pi terra o pi mari?»
«Pi mari». «E jeu vaju pi terra», pinzau iddha. Comu lu figghiu dû Re avìa partutu, Surfarina niscìu dâ gebbia e partìu pi Nàpuli. Ḍḍocu pigghiau na casa di 'n facci â lucanna unni stava lu maritu, e quannu iddhu taliau fora dâ finestra, vitti a iddha ca stava ntô barcuni e a taliau maravigghiatu. «Ma chi succedi? Si nun avissi lassatu a me mugghieri nnâ gebbia e â rumana a Roma, pinzassi ca sta fìmmina è na ntra i dui». A salutau e ci parrau, iddha rispunnìu gintili e, pi falla curta, doppu n'annu lu figghiu dû Re e Surfarina àppiru un picciriddhu ca chiamaru Napulitanu."
full,x,"Lu sai ca ti fazzu abbiari ntâ gebbia si nun lu dici?»
«Allura fammi jittari nnâ gebbia!»
Pratticamenti, cu tuttu ca jiva nni iddha cchiù voti ô jornu e pruvava di na manera o di n'autra, nun era pussìbbili uttèniri na risposta diversa di iddha. Â fini s'abbilijau e a lassau dintra a na gebbia vacanti ca stava ntô curtigghiu. Ma 'n sichitanza curriva â gebbia:
«Surfarina, ti preju, dimmi, ti pintisti?»
«No», rispunnìu iddha,
«Nun m'aiu pintutu e nun mi pintiraju,
Si n'autra cci nni voli tâ daraju!»
«Lu sa' ca partu p'un viaggiu luntanu e ti lassu cca ntâ gebbia?»
«Va' unni ti pari», rispunnìu iddha, «fammi sulu a grazzia di dìrimi si vai pi terra o pi mari». Accussì passaru ancora na vrancata di jorna e Surfarina nun si lassau cummìnciri ne chî prijeri ne cu l'amminazzi a diri ca si pintiva. Lu figghiu dû Re, vidènnula accussì tistaruta, â fini ci schigghiau: 
«Addìu!"
full,x,"Pi comu vidìvamu li cosi nuiautri, a giustizzia s'avìa a fari: ni sintìamu comu na ciamma ca mancu lu ciusciu dû ventu putìa astutari. Adunca, ammaccannu i nùmmari dâ tastera, chiamau â pulizzìa. Passau lu tempu, passaru li jorna, e tutti ô paisi parràvanu dû mortu ca quattru picciotti, ""l'armali"", avìanu truvatu campi campi. Nun nni pozzu cuntari baddhi, èramu tutti tanticchia scantati ca ni putìa succèdiri quarchi cosa, Lillu abbuscau na para di jancati (so ziu lu zagagnau picchì ci avìa dittu di zittìrisi ma iddhu fici di testa so), ma a parti chistu a nuddhu ci succidìu nenti. Ancora oji, puru ca passaru cchiù assà di trent'anni, penzu a sta storia. Ntra a tutta sta storia, chiddhu ca, a ddhi tempi, mi fici cchiù stranu fu ca nuddhu sappi diri cu' fu lu vastasu ca ammazzau a ddhu mischinu."
full,x,"Si a tia piaci lèggiri, â casa sì. Si a tia piaci scrìviri 'n sicilianu e voi ti nzignari a scrìviri a lingua comu Diu cumanna, ti vulemu sèntiri. Scrìvini na mail, e accussì poi dari di manciari all'autri ca ànnu stu pitittu malidettu. Ma nun sulu cunti. Vulemu vìdiri puru jurnalìstica, fumetti, tiatru, e cchiù assai. E si canusciu a na cristiana ca scrivi ma nun sapi unni addimustrari i so travagghi - dilla di parrar cu nuiautri. Annunca, t'aspittamu cca, sempri cû pitittu nìjuru. N quali sicilianu avìssimu a scrìviri? Cca a Panzareddha avemu du' punti chiavi ncapu â scrittura:
Ognidunu scrivi nnâ so propria parrata
Scrivemu nnâ na manera cumprenzìbbili a tutti i parranti dû sicilianu. Sunnu du' ubbittivi ca si contraddìcinu, no? Pirò nun è un prubblema si scrivemu 'n un sicilianu “nadaru”, unni pruvamu a usari furmi e palori ca quasi tutti i sicilianu già sannu."
full,x,"E iu? A mia, ca sugnu Sarbaturi, macari dittu Turiddhu, mi chiamàvanu ""lu Purpu"", picchì na vota niscivu azzizzatu cu na bunaca rosa. Un jornu, comu tutti l'autri, èramu fora. Ni mìsimu d'accordu pi fari na speci di schiticchiu campagni campagni. Nfatti, lu ziu di Lillu avìa na campagna ca era troppu beddha: spazziu ca nun finìa cchiù, chianti ca si putìanu sulu mmagginari, macari quarchi zàbbara a menzu a li fraschi e a li cannizzola. Nuiautri cci vòsimu jiri propia pi passari na bona jurnata: èramu nnô misi di giugnettu, e a ddh'ura cci putìa stari un schiticchiu 'n campagna. Doppu ca manciammu, stinnicchiati appressu ôn lannireddhu, Lillu si susìu e accuminciau a parrari:
-""Picciò, arrisbigghiàtivi e ascutàtimi n'anticchia! Âm'a jiri ddhà sutta: me ziu mi dissi, na vota, ca cc'è na speci di fùnnacu abbannunatu! Cci âm'a dari na taliata""."
full,x,"Amara Sapi - Capìtulu Unu, Lu Zuccu
«Amara a mia, a stu Zuccu, e a cu' mi cci purtau!» arripitiva 'n sicutanza (in continuzione)﻿﻿ Nardu. Vutau di botta a manca, i roti zurrijaru (stridettero)﻿﻿ nta l'asfartu ghiacciatu e a màchina allatau a menzu â nivi. Ci sautau lu cori di na manera ca sû sintìa ntâ gula. A màchina fu arrivutata dû fetu di gumma sbampata, Nardu tussìu e grapìu lu finistrinu pi fari tràsiri l'aria. Nuddhu dî dui sâ fidava a parrari. L'ùnici scrusci èranu i so ciati allintati﻿﻿ (respiri affiatati) e lu ticchi-tacchi dû muturi ca si stava rifriddannu. Comu potti diri palora, Nardu si firrijau agghiri di Giuvannuzza: a sbinturata stava assittata comu pitrificata. «Zuccarata! Rispùnnimi, ti preju!» ci schigghiava scutulànnula. «Giuvanna!»
Duci, Giuvannuzza ci livau i manu dî so spaddhi e cî strincìu «Bonu staju, nun t'hâ frasturnari »
«Ma com'avissi a fari?"
full,x,"Semu na cucchia, Nardu. Comu ti pozzu 'jutari su mancu sacciu zoccu ti spercia?»
«M'hâ scusari.» A tinni stritta ô so pettu, comu siddhu a vulissi prutèggiri di quarchi cosa. Ma era di iddhu ca l'avissi avutu a prutèggiri, Giuvannuzza stava di ddha manera pi curpa so. Spissu, a via di pinzari troppu assai a l'autri, va a finisci ca i firimu e nun nâ fidamu nimmancu a fari i cosi bonu comu avìssimu vulutu. Tanticchieddha di eguìsimu giuva, ê voti. Di capillu Nardu l'avìa caputu, ma riniscìrilu a fari era tuttu n'autru discursu. A schigghia strìjula di na signura sguarrau (squarciò)﻿﻿ l'aria. Giuvannuzza si staccau subbitania di Nardu. «Jemu a cuntrullari!» lu pigghiau pû vrazzu e attaccau a fùjiri ntâ dirizzioni dâ vuci. Na vicchiareddha stava malu riddutta 'n terra appressu a un bancarozzu ca vinniva stigghioli, aviva na manu ntâ facci e l'occhi lacrimusi."
full,x,"Ddà ca l'ierva jera luonga, li vistiuola eranu magri; e ccà ca l'ierva mancu si vidi, li vistiuola su' accussì gruossi.» E la vièstia caminava sempri, e Vicienzu cu idda. Camina camina, e scuontra 'na truoja tutta cu la cuda virticchia virticchia; e si nni fici maravigghia ch'a­ via sta suorti di cuda. Cchiù agghiriddà scuntrau 'na bri­ vatura e cc'era 'na buffa chi java assicutannu 'na muddi­ ca di pani, e 'un la putía arrivari. Vicienzu sicutau a ca­ comune. minari e junciu nn'ôn purtuni. La vièstia detti 'na tistata 'nta stu purtuni, e lu purtuni si grapíu e accumparisci 'na biedda Signura, ca dici ca era la Madonna."
full,x,"Siddu iddi lu fannu, senti chi aviti a fari: tu avi' a vèniri cu tutti iddi ccà; tu accumenzi a cunfissàriti cu mia stissu, e poi iu cunfessu a tutti iddi, e vi fazzu a tutti la cumunioni; a la finuta di fàrisi la comunioni, ad unu, ad unu, vuàtri muriti tutti, e vi ni jiti ni la gloria di lu santu Paradisu.» Lu fratellu, chi era ancora darreri la porta, a stu discursu arristau 'mpatiddutu; e lu iju a cun­ tari a lu Guardianu; lu Guardianu a la prima e secunna vota nun ci vulia cridiri, ma quannu ci cuntau ca lu Si­ gnuri scinníu tri voti, e ultimamenti mangiau cu chiddu, allura ci critti, e ci dissi a lu fratellu: «Fa acchianari ccà ad iddu quantu armènu la sentu bona e mi ni pirsua­ du.» Lu fratellu, ca era un buonomu, ci iju a chiamari subitu a lu puvireddu, lu quali obbidennu a lu cumannu di lu Signuri, ci iju."
